Title,Rating,Year,Critics Consensus,Synopsis,Starring Actors,Director
L.A. Confidential,99%,1997,"Critics Consensus: Taut pacing, brilliantly dense writing and Oscar-worthy acting combine to produce a smart, popcorn-friendly thrill ride.","Synopsis: Three policemen, each with his own motives and obsessions, tackle the corruption surrounding an unsolved murder at a downtown Los...
               [More]","Kevin Spacey, Russell Crowe, Guy Pearce, James Cromwell",Directed By: Curtis Hanson
The Godfather,97%,1972,"Critics Consensus: One of Hollywood's greatest critical and commercial successes, The Godfather gets everything right; not only did the movie transcend expectations, it established new benchmarks for American cinema.","Synopsis: Widely regarded as one of the greatest films of all time, this mob drama, based on Mario Puzo's novel of...
               [More]","Marlon Brando, Al Pacino, James Caan, Richard S. Castellano",Directed By: Francis Ford Coppola
Casablanca,99%,1942,"Critics Consensus: An undisputed masterpiece and perhaps Hollywood's quintessential statement on love and romance, Casablanca has only improved with age, boasting career-defining performances from Humphrey Bogart and Ingrid Bergman.","Synopsis: Rick Blaine (Humphrey Bogart), who owns a nightclub in Casablanca, discovers his old flame Ilsa (Ingrid Bergman) is in town...
               [More]","Humphrey Bogart, Ingrid Bergman, Paul Henreid, Claude Rains",Directed By: Michael Curtiz
Seven Samurai,100%,1954,"Critics Consensus: Arguably Akira Kurosawa's masterpiece, The Seven Samurai is an epic adventure classic with an engrossing story, memorable characters, and stunning action sequences that make it one of the most influential films ever made.","Synopsis: A samurai answers a village's request for protection after he falls on hard times. The town needs protection from bandits,...
               [More]","Toshiro Mifune, Takashi Shimura, Yoshio Inaba, Seiji Miyaguchi",Directed By: Akira Kurosawa
Parasite,99%,2019,"Critics Consensus: An urgent, brilliantly layered look at timely social themes, Parasite finds writer-director Bong Joon Ho in near-total command of his craft.","Synopsis: Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan....
               [More]","Song Kang-ho, Lee Sun-kyun, Jo Yeo-jeong, Choi Woo-sik",Directed By: Bong Joon Ho
Schindler's List,98%,1993,Critics Consensus: Schindler's List blends the abject horror of the Holocaust with Steven Spielberg's signature tender humanism to create the director's dramatic masterpiece.,"Synopsis: Businessman Oskar Schindler (Liam Neeson) arrives in Krakow in 1939, ready to make his fortune from World War II, which...
               [More]","Liam Neeson, Ben Kingsley, Ralph Fiennes, Caroline Goodall",Directed By: Steven Spielberg
Top Gun: Maverick,96%,2022,"Critics Consensus: Top Gun: Maverick pulls off a feat even trickier than a 4G inverted dive, delivering a long-belated sequel that surpasses its predecessor in wildly entertaining style.","Synopsis: After more than thirty years of service as one of the Navy’s top aviators, Pete “Maverick” Mitchell (Tom Cruise) is...
               [More]","Tom Cruise, Miles Teller, Jennifer Connelly, Jon Hamm",Directed By: Joseph Kosinski
Toy Story 2,100%,1999,"Critics Consensus: The rare sequel that arguably improves on its predecessor, Toy Story 2 uses inventive storytelling, gorgeous animation, and a talented cast to deliver another rich moviegoing experience for all ages.","Synopsis: Woody (Tom Hanks) is stolen from his home by toy dealer Al McWhiggin (Wayne Knight), leaving Buzz Lightyear (Tim Allen)...
               [More]","Tom Hanks, Tim Allen, Joan Cusack, Kelsey Grammer","Directed By: Ash Brannon, John Lasseter, Lee Unkrich"
Chinatown,98%,1974,"Critics Consensus: As bruised and cynical as the decade that produced it, this noir classic benefits from Robert Towne's brilliant screenplay, director Roman Polanski's steady hand, and wonderful performances from Jack Nicholson and Faye Dunaway.","Synopsis: When Los Angeles private eye J.J. Jake Gittes (Jack Nicholson) is hired by Evelyn Mulwray to investigate her husband's activities,...
               [More]","Jack Nicholson, Faye Dunaway, John Huston, Perry Lopez",Directed By: Roman Polanski
On the Waterfront,99%,1954,"Critics Consensus: With his electrifying performance in Elia Kazan's thought-provoking, expertly constructed melodrama, Marlon Brando redefined the possibilities of acting for film and helped permanently alter the cinematic landscape.","Synopsis: Dockworker Terry Malloy (Marlon Brando) had been an up-and-coming boxer until powerful local mob boss Johnny Friendly (Lee J. Cobb)...
               [More]","Marlon Brando, Eva Marie Saint, Karl Malden, Lee J. Cobb",Directed By: Elia Kazan
The Battle of Algiers,99%,1966,"Critics Consensus: A documentary-like depiction of a nation's real-life efforts to expel a colonizing force, The Battle of Algiers puts viewers on the front lines with gripping realism.","Synopsis: Paratrooper commander Colonel Mathieu (Jean Martin), a former French Resistance fighter during World War II, is sent to 1950s Algeria...
               [More]","Jean Martin, Yacef Saadi, Brahim Haggiag, Tommaso Neri",Directed By: Gillo Pontecorvo
Toy Story,100%,1995,"Critics Consensus: Entertaining as it is innovative, Toy Story reinvigorated animation while heralding the arrival of Pixar as a family-friendly force to be reckoned with.","Synopsis: Woody (Tom Hanks), a good-hearted cowboy doll who belongs to a young boy named Andy (John Morris), sees his position...
               [More]","Tom Hanks, Tim Allen, Don Rickles, Jim Varney",Directed By: John Lasseter
Rear Window,98%,1954,Critics Consensus: Hitchcock exerted full potential of suspense in this masterpiece.,"Synopsis: A newspaper photographer with a broken leg passes time recuperating by observing his neighbors through his window. He sees what...
               [More]","James Stewart, Grace Kelly, Wendell Corey, Raymond Burr",Directed By: Alfred Hitchcock
Modern Times,98%,1936,"Critics Consensus: A slapstick skewering of industrialized America, Modern Times is as politically incisive as it is laugh-out-loud hilarious.","Synopsis: This comedic masterpiece finds the iconic Little Tramp (Charlie Chaplin) employed at a state-of-the-art factory where the inescapable machinery completely...
               [More]","Charlie Chaplin, Paulette Goddard, Henry Bergman, Tiny Sandford",Directed By: Charlie Chaplin
How to Train Your Dragon,99%,2010,"Critics Consensus: Boasting dazzling animation, a script with surprising dramatic depth, and thrilling 3-D sequences, How to Train Your Dragon soars.","Synopsis: A misfit Viking teenager sees a chance to change the course of his clan's future when he befriends an injured...
               [More]","Jay Baruchel, Gerard Butler, America Ferrera, Jonah Hill","Directed By: Christopher Sanders, Dean DeBlois"
All About Eve,99%,1950,"Critics Consensus: Smart, sophisticated, and devastatingly funny, All About Eve is a Hollywood classic that only improves with age.","Synopsis: Backstage story revolving around aspiring actress Eve Harrington. Tattered and forlorn, Eve shows up in the dressing room of Broadway...
               [More]","Bette Davis, Anne Baxter, Celeste Holm, George Sanders",Directed By: Joseph L. Mankiewicz
Spirited Away,96%,2001,"Critics Consensus: Spirited Away is a dazzling, enchanting, and gorgeously drawn fairy tale that will leave viewers a little more curious and fascinated by the world around them.","Synopsis: 10-year-old Chihiro (Daveigh Chase) moves with her parents to a new home in the Japanese countryside. After taking a wrong...
               [More]","Daveigh Chase, Suzanne Pleshette, Jason Marsden, Susan Egan",Directed By: Hayao Miyazaki
Up,98%,2009,"Critics Consensus: An exciting, funny, and poignant adventure, Up offers an impeccably crafted story told with wit and arranged with depth, as well as yet another visual Pixar treat.","Synopsis: Carl Fredricksen (Ed Asner), a 78-year-old balloon salesman, is about to fulfill a lifelong dream. Tying thousands of balloons to...
               [More]","Ed Asner, Christopher Plummer, Jordan Nagai, Bob Peterson","Directed By: Pete Docter, Bob Peterson"
The Third Man,99%,1949,"Critics Consensus: This atmospheric thriller is one of the undisputed masterpieces of cinema, and boasts iconic performances from Joseph Cotten and Orson Welles.","Synopsis: Set in postwar Vienna, Austria, ""The Third Man"" stars Joseph Cotten as Holly Martins, a writer of pulp Westerns, who...
               [More]","Orson Welles, Joseph Cotten, Trevor Howard, Alida Valli",Directed By: Carol Reed
Spotlight,97%,2015,"Critics Consensus: Spotlight gracefully handles the lurid details of its fact-based story while resisting the temptation to lionize its heroes, resulting in a drama that honors the audience as well as its real-life subjects.","Synopsis: In 2001, editor Marty Baron of The Boston Globe assigns a team of journalists to investigate allegations against John Geoghan,...
               [More]","Mark Ruffalo, Michael Keaton, Rachel McAdams, Liev Schreiber",Directed By: Tom McCarthy
Spider-Man: Into the Spider-Verse,97%,2018,"Critics Consensus: Spider-Man: Into the Spider-Verse matches bold storytelling with striking animation for a purely enjoyable adventure with heart, humor, and plenty of superhero action.","Synopsis: Bitten by a radioactive spider in the subway, Brooklyn teenager Miles Morales suddenly develops mysterious powers that transform him into...
               [More]","Shameik Moore, Jake Johnson, Hailee Steinfeld, Mahershala Ali","Directed By: Bob Persichetti, Peter Ramsey, Rodney Rothman"
The Philadelphia Story,100%,1940,"Critics Consensus: Offering a wonderfully witty script, spotless direction from George Cukor, and typically excellent lead performances, The Philadelphia Story is an unqualified classic.","Synopsis: This classic romantic comedy focuses on Tracy Lord (Katharine Hepburn), a Philadelphia socialite who has split from her husband, C.K....
               [More]","Cary Grant, Katharine Hepburn, James Stewart, Ruth Hussey",Directed By: George Cukor
Finding Nemo,99%,2003,"Critics Consensus: Breathtakingly lovely and grounded by the stellar efforts of a well-chosen cast, Finding Nemo adds another beautifully crafted gem to Pixar's crown.","Synopsis: Marlin (Albert Brooks), a clown fish, is overly cautious with his son, Nemo (Alexander Gould), who has a foreshortened fin....
               [More]","Albert Brooks, Ellen DeGeneres, Alexander Gould, Willem Dafoe",Directed By: Andrew Stanton
Singin' in the Rain,100%,1952,"Critics Consensus: Clever, incisive, and funny, Singin' in the Rain is a masterpiece of the classical Hollywood musical.","Synopsis: A spoof of the turmoil that afflicted the movie industry in the late 1920s when movies went from silent to...
               [More]","Gene Kelly, Debbie Reynolds, Donald O'Connor, Jean Hagen","Directed By: Stanley Donen, Gene Kelly"
12 Angry Men,100%,1957,"Critics Consensus: Sidney Lumet's feature debut is a superbly written, dramatically effective courtroom thriller that rightfully stands as a modern classic.","Synopsis: Following the closing arguments in a murder trial, the 12 members of the jury must deliberate, with a guilty verdict...
               [More]","Henry Fonda, Lee J. Cobb, Ed Begley, E.G. Marshall",Directed By: Sidney Lumet
Toy Story 3,98%,2010,"Critics Consensus: Deftly blending comedy, adventure, and honest emotion, Toy Story 3 is a rare second sequel that really works.","Synopsis: With their beloved Andy preparing to leave for college, Woody (Tom Hanks), Buzz Lightyear (Tim Allen), Jessie (Joan Cusack), and...
               [More]","Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty",Directed By: Lee Unkrich
Sunset Boulevard,98%,1950,"Critics Consensus: Arguably the greatest movie about Hollywood, Billy Wilder's masterpiece Sunset Boulevard is a tremendously entertaining combination of noir, black comedy, and character study.","Synopsis: An aging silent film queen refuses to accept that her stardom has ended. She hires a young screenwriter to help...
               [More]","William Holden, Gloria Swanson, Erich von Stroheim, Nancy Olson",Directed By: Billy Wilder
